START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
,,,,,,,
2/5/20 2:10, 2020-02-05 02:22:04, 2020-02-04 18:10:31 PST, 2020-02-04 18:22:04 PST,693, Walk, , 
2/5/20 2:23, 2020-02-05 03:50:59, 2020-02-04 18:23:02 PST, 2020-02-04 19:50:59 PST,5277, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/5/20 3:50, 2020-02-05 04:02:22, 2020-02-04 19:50:59 PST, 2020-02-04 20:02:22 PST,683, Transport, , 
2/5/20 4:02, 2020-02-05 04:09:46, 2020-02-04 20:02:22 PST, 2020-02-04 20:09:46 PST,444, Dinner, Whole Foods Market, 
2/5/20 4:09, 2020-02-05 04:20:17, 2020-02-04 20:09:46 PST, 2020-02-04 20:20:17 PST,631, Transport, , 
2/5/20 4:20, 2020-02-05 18:01:54, 2020-02-04 20:20:17 PST, 2020-02-05 10:01:54 PST,49297, Home, , 
2/5/20 9:38, 2020-02-05 17:42:16, 2020-02-05 01:38:00 PST, 2020-02-05 09:42:16 PST,29056, Sleep, , 
2/5/20 18:01, 2020-02-05 18:12:24, 2020-02-05 10:01:54 PST, 2020-02-05 10:12:24 PST,630, Transport, , 
2/5/20 18:12, 2020-02-05 20:35:48, 2020-02-05 10:12:24 PST, 2020-02-05 12:35:48 PST,8604, Studying, SLODOCO, 
2/5/20 20:36, 2020-02-05 21:00:02, 2020-02-05 12:36:43 PST, 2020-02-05 13:00:02 PST,1399, Home, , 
2/5/20 21:00, 2020-02-05 21:03:08, 2020-02-05 13:00:01 PST, 2020-02-05 13:03:08 PST,187, Commute to work, , 
2/5/20 21:00, 2020-02-05 21:03:08, 2020-02-05 13:00:02 PST, 2020-02-05 13:03:08 PST,186, Transport, , 
2/5/20 21:03, 2020-02-05 21:32:42, 2020-02-05 13:03:08 PST, 2020-02-05 13:32:42 PST,1774, School, , 
2/5/20 21:32, 2020-02-05 21:36:30, 2020-02-05 13:32:41 PST, 2020-02-05 13:36:30 PST,229, Commute to home, , 
2/5/20 21:32, 2020-02-05 21:36:30, 2020-02-05 13:32:42 PST, 2020-02-05 13:36:30 PST,228, Transport, , 
2/5/20 21:36, 2020-02-05 23:26:45, 2020-02-05 13:36:30 PST, 2020-02-05 15:26:45 PST,6615, Home, , 
2/5/20 23:26, 2020-02-05 23:34:33, 2020-02-05 15:26:45 PST, 2020-02-05 15:34:33 PST,468, Transport, , 
2/5/20 23:34, 2020-02-05 23:54:06, 2020-02-05 15:34:33 PST, 2020-02-05 15:54:06 PST,1173, Dinner, Whole Foods Market, 
2/5/20 23:54, 2020-02-06 00:02:33, 2020-02-05 15:54:06 PST, 2020-02-05 16:02:33 PST,507, Transport, , 
2/6/20 0:02, 2020-02-06 04:26:49, 2020-02-05 16:02:33 PST, 2020-02-05 20:26:49 PST,15856, Home, , 
2/6/20 4:26, 2020-02-06 04:28:50, 2020-02-05 20:26:49 PST, 2020-02-05 20:28:50 PST,121, Transport, , 
2/6/20 4:28, 2020-02-06 08:25:38, 2020-02-05 20:28:50 PST, 2020-02-06 00:25:38 PST,14208, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/6/20 8:25, 2020-02-06 08:28:17, 2020-02-06 00:25:38 PST, 2020-02-06 00:28:17 PST,159, Transport, , 
2/6/20 8:28, 2020-02-06 19:46:45, 2020-02-06 00:28:17 PST, 2020-02-06 11:46:45 PST,40708, Home, , 
2/6/20 9:59, 2020-02-06 18:00:12, 2020-02-06 01:59:49 PST, 2020-02-06 10:00:12 PST,28823, Sleep, , 
2/6/20 19:46, 2020-02-06 19:53:09, 2020-02-06 11:46:44 PST, 2020-02-06 11:53:09 PST,385, Commute to work, , 
2/6/20 19:46, 2020-02-06 19:49:38, 2020-02-06 11:46:45 PST, 2020-02-06 11:49:38 PST,173, Transport, , 
2/6/20 19:53, 2020-02-06 22:43:52, 2020-02-06 11:53:09 PST, 2020-02-06 14:43:52 PST,10243, School, , 
2/6/20 22:43, 2020-02-06 22:48:51, 2020-02-06 14:43:51 PST, 2020-02-06 14:48:51 PST,300, Commute to home, , 
2/6/20 22:43, 2020-02-06 22:48:50, 2020-02-06 14:43:52 PST, 2020-02-06 14:48:50 PST,298, Walk, , 
2/6/20 22:48, 2020-02-06 23:12:31, 2020-02-06 14:48:51 PST, 2020-02-06 15:12:31 PST,1420, Home, , 
2/6/20 23:12, 2020-02-06 23:16:55, 2020-02-06 15:12:30 PST, 2020-02-06 15:16:55 PST,265, Commute to work, , 
2/6/20 23:12, 2020-02-06 23:16:55, 2020-02-06 15:12:31 PST, 2020-02-06 15:16:55 PST,264, Transport, , 
2/6/20 23:16, 2020-02-07 00:11:45, 2020-02-06 15:16:55 PST, 2020-02-06 16:11:45 PST,3290, School, Multi Activity Center, 
2/7/20 0:11, 2020-02-07 01:04:20, 2020-02-06 16:11:44 PST, 2020-02-06 17:04:20 PST,3156, Commute to home, , 
2/7/20 0:11, 2020-02-07 00:24:50, 2020-02-06 16:11:45 PST, 2020-02-06 16:24:50 PST,785, Transport, , 
2/7/20 0:24, 2020-02-07 00:34:59, 2020-02-06 16:24:50 PST, 2020-02-06 16:34:59 PST,609, Groceries, Trader Joe's, 
2/7/20 0:42, 2020-02-07 00:55:01, 2020-02-06 16:42:39 PST, 2020-02-06 16:55:01 PST,742, Dinner, Whole Foods Market, 
2/7/20 0:55, 2020-02-07 01:04:20, 2020-02-06 16:55:01 PST, 2020-02-06 17:04:20 PST,559, Transport, , 
2/7/20 1:04, 2020-02-07 02:02:44, 2020-02-06 17:04:20 PST, 2020-02-06 18:02:44 PST,3504, Home, , 
2/7/20 2:02, 2020-02-07 02:09:32, 2020-02-06 18:02:44 PST, 2020-02-06 18:09:32 PST,408, Transport, , 
2/7/20 2:09, 2020-02-07 05:14:03, 2020-02-06 18:09:32 PST, 2020-02-06 21:14:03 PST,11071, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/7/20 5:14, 2020-02-07 05:17:17, 2020-02-06 21:14:03 PST, 2020-02-06 21:17:17 PST,194, Transport, , 
2/7/20 5:17, 2020-02-07 20:59:38, 2020-02-06 21:17:17 PST, 2020-02-07 12:59:38 PST,56541, Home, , 
2/7/20 10:29, 2020-02-07 18:30:06, 2020-02-07 02:29:30 PST, 2020-02-07 10:30:06 PST,28836, Sleep, , 
2/7/20 20:59, 2020-02-07 21:03:33, 2020-02-07 12:59:37 PST, 2020-02-07 13:03:33 PST,236, Commute to work, , 
2/7/20 20:59, 2020-02-07 21:02:32, 2020-02-07 12:59:38 PST, 2020-02-07 13:02:32 PST,174, Transport, , 
2/7/20 21:03, 2020-02-07 22:28:09, 2020-02-07 13:03:33 PST, 2020-02-07 14:28:09 PST,5076, School, , 
2/7/20 22:28, 2020-02-07 22:31:24, 2020-02-07 14:28:08 PST, 2020-02-07 14:31:24 PST,196, Commute to home, , 
2/7/20 22:28, 2020-02-07 22:31:23, 2020-02-07 14:28:09 PST, 2020-02-07 14:31:23 PST,194, Walk, , 
2/7/20 22:31, 2020-02-08 00:58:04, 2020-02-07 14:31:24 PST, 2020-02-07 16:58:04 PST,8800, Home, , 
