,NAME,S1901_C04_012E
1,ZCTA5 00601,9386
2,ZCTA5 00602,11242
3,ZCTA5 00603,10639
4,ZCTA5 00606,15849
5,ZCTA5 00610,12832
6,ZCTA5 00611,8464
7,ZCTA5 00612,10320
8,ZCTA5 00616,9727
9,ZCTA5 00617,13661
10,ZCTA5 00622,10638
11,ZCTA5 00623,12275
12,ZCTA5 00624,12193
13,ZCTA5 00627,10528
14,ZCTA5 00631,"2,500-"
15,ZCTA5 00636,-
16,ZCTA5 00637,12650
17,ZCTA5 00638,10879
18,ZCTA5 00641,9022
19,ZCTA5 00646,15229
20,ZCTA5 00647,10988
21,ZCTA5 00650,10469
22,ZCTA5 00652,16847
23,ZCTA5 00653,8825
24,ZCTA5 00656,11936
25,ZCTA5 00659,12894
26,ZCTA5 00660,13858
27,ZCTA5 00662,11449
28,ZCTA5 00664,8026
29,ZCTA5 00667,12346
30,ZCTA5 00669,10031
31,ZCTA5 00670,9113
32,ZCTA5 00674,11215
33,ZCTA5 00676,11105
34,ZCTA5 00677,14013
35,ZCTA5 00678,11104
36,ZCTA5 00680,8895
37,ZCTA5 00682,11401
38,ZCTA5 00683,10651
39,ZCTA5 00685,9470
40,ZCTA5 00687,11563
41,ZCTA5 00688,8918
42,ZCTA5 00690,16399
43,ZCTA5 00692,13638
44,ZCTA5 00693,12375
45,ZCTA5 00694,-
46,ZCTA5 00698,10489
47,ZCTA5 00703,13615
48,ZCTA5 00704,10417
49,ZCTA5 00705,13872
50,ZCTA5 00707,16672
51,ZCTA5 00714,12979
52,ZCTA5 00715,9247
53,ZCTA5 00716,12218
54,ZCTA5 00717,9143
55,ZCTA5 00718,14847
56,ZCTA5 00719,11881
57,ZCTA5 00720,8901
58,ZCTA5 00723,10985
59,ZCTA5 00725,15696
60,ZCTA5 00727,20270
61,ZCTA5 00728,14244
62,ZCTA5 00729,13550
63,ZCTA5 00730,11292
64,ZCTA5 00731,8789
65,ZCTA5 00735,14679
66,ZCTA5 00736,11981
67,ZCTA5 00738,13719
68,ZCTA5 00739,13771
69,ZCTA5 00740,9154
70,ZCTA5 00741,12252
71,ZCTA5 00745,14365
72,ZCTA5 00751,12500
73,ZCTA5 00754,10513
74,ZCTA5 00757,12459
75,ZCTA5 00765,11937
76,ZCTA5 00766,10901
77,ZCTA5 00767,10438
78,ZCTA5 00769,11538
79,ZCTA5 00771,11122
80,ZCTA5 00772,10420
81,ZCTA5 00773,15911
82,ZCTA5 00775,14934
83,ZCTA5 00777,13455
84,ZCTA5 00778,15629
85,ZCTA5 00780,11340
86,ZCTA5 00782,10642
87,ZCTA5 00783,10843
88,ZCTA5 00784,12935
89,ZCTA5 00786,-
90,ZCTA5 00791,12977
91,ZCTA5 00794,12871
92,ZCTA5 00795,11233
93,ZCTA5 00901,19196
94,ZCTA5 00906,164083
95,ZCTA5 00907,28887
96,ZCTA5 00909,16366
97,ZCTA5 00911,17411
98,ZCTA5 00912,19397
99,ZCTA5 00913,6940
100,ZCTA5 00915,11028
101,ZCTA5 00917,12428
102,ZCTA5 00918,25457
103,ZCTA5 00920,17588
104,ZCTA5 00921,15735
105,ZCTA5 00923,10797
106,ZCTA5 00924,13783
107,ZCTA5 00925,10240
108,ZCTA5 00926,20373
109,ZCTA5 00927,24928
110,ZCTA5 00934,-
111,ZCTA5 00949,17373
112,ZCTA5 00950,-
113,ZCTA5 00951,-
114,ZCTA5 00952,11142
115,ZCTA5 00953,13609
116,ZCTA5 00956,15875
117,ZCTA5 00957,13324
118,ZCTA5 00959,17955
119,ZCTA5 00960,-
120,ZCTA5 00961,19846
121,ZCTA5 00962,9747
122,ZCTA5 00965,8064
123,ZCTA5 00966,22438
124,ZCTA5 00968,28885
125,ZCTA5 00969,28286
126,ZCTA5 00971,15709
127,ZCTA5 00976,16325
128,ZCTA5 00979,26757
129,ZCTA5 00982,17055
130,ZCTA5 00983,20795
131,ZCTA5 00985,15115
132,ZCTA5 00987,18508
133,ZCTA5 01001,41250
134,ZCTA5 01002,30636
135,ZCTA5 01003,-
136,ZCTA5 01005,67961
137,ZCTA5 01007,49044
138,ZCTA5 01008,66136
139,ZCTA5 01009,79769
140,ZCTA5 01010,37775
141,ZCTA5 01011,50521
142,ZCTA5 01012,-
143,ZCTA5 01013,31006
144,ZCTA5 01020,34212
145,ZCTA5 01022,45313
146,ZCTA5 01026,57188
147,ZCTA5 01027,41368
148,ZCTA5 01028,46149
149,ZCTA5 01029,-
150,ZCTA5 01030,44441
151,ZCTA5 01031,21510
152,ZCTA5 01032,37778
153,ZCTA5 01033,33325
154,ZCTA5 01034,52961
155,ZCTA5 01035,66141
156,ZCTA5 01036,41250
157,ZCTA5 01037,43684
158,ZCTA5 01038,48750
159,ZCTA5 01039,64274
160,ZCTA5 01040,34093
161,ZCTA5 01050,46359
162,ZCTA5 01053,41029
163,ZCTA5 01054,62813
164,ZCTA5 01056,37614
165,ZCTA5 01057,45429
166,ZCTA5 01060,43780
167,ZCTA5 01062,34844
168,ZCTA5 01063,-
169,ZCTA5 01066,-
170,ZCTA5 01068,47125
171,ZCTA5 01069,48081
172,ZCTA5 01070,47500
173,ZCTA5 01071,54519
174,ZCTA5 01072,61250
175,ZCTA5 01073,32176
176,ZCTA5 01074,-
177,ZCTA5 01075,53333
178,ZCTA5 01077,42896
179,ZCTA5 01079,-
180,ZCTA5 01080,46786
181,ZCTA5 01081,61071
182,ZCTA5 01082,38388
183,ZCTA5 01083,21979
184,ZCTA5 01084,-
185,ZCTA5 01085,45828
186,ZCTA5 01088,60625
187,ZCTA5 01089,40465
188,ZCTA5 01092,58585
189,ZCTA5 01093,-
190,ZCTA5 01094,-
191,ZCTA5 01095,48214
192,ZCTA5 01096,52375
193,ZCTA5 01097,-
194,ZCTA5 01098,53382
195,ZCTA5 01103,14951
196,ZCTA5 01104,20754
197,ZCTA5 01105,19566
198,ZCTA5 01106,47321
199,ZCTA5 01107,12576
200,ZCTA5 01108,31137
201,ZCTA5 01109,17111
202,ZCTA5 01118,50764
203,ZCTA5 01119,37539
204,ZCTA5 01128,34704
