NAME,S1901_C04_012E
00601,9386
00602,11242
00603,10639
00606,15849
00610,12832
00611,8464
00612,10320
00616,9727
00617,13661
00622,10638
00623,12275
00624,12193
00627,10528
00637,12650
00638,10879
00641,9022
00646,15229
00647,10988
00650,10469
00652,16847
00653,8825
00656,11936
00659,12894
00660,13858
00662,11449
00664,8026
00667,12346
00669,10031
00670,9113
00674,11215
00676,11105
00677,14013
00678,11104
00680,8895
00682,11401
00683,10651
00685,9470
00687,11563
00688,8918
00690,16399
00692,13638
00693,12375
00698,10489
00703,13615
00704,10417
00705,13872
00707,16672
00714,12979
00715,9247
00716,12218
00717,9143
00718,14847
00719,11881
00720,8901
00723,10985
00725,15696
00727,20270
00728,14244
00729,13550
00730,11292
00731,8789
00735,14679
00736,11981
00738,13719
00739,13771
00740,9154
00741,12252
00745,14365
00751,12500
00754,10513
00757,12459
00765,11937
00766,10901
00767,10438
00769,11538
00771,11122
00772,10420
00773,15911
00775,14934
00777,13455
00778,15629
00780,11340
00782,10642
00783,10843
00784,12935
00791,12977
00794,12871
00795,11233
00901,19196
00906,164083
00907,28887
00909,16366
00911,17411
00912,19397
00913,6940
00915,11028
00917,12428
00918,25457
00920,17588
00921,15735
00923,10797
00924,13783
00925,10240
00926,20373
00927,24928
00949,17373
00952,11142
00953,13609
00956,15875
00957,13324
00959,17955
00961,19846
00962,9747
00965,8064
00966,22438
00968,28885
00969,28286
00971,15709
00976,16325
00979,26757
00982,17055
00983,20795
00985,15115
00987,18508
01001,41250
01002,30636
01005,67961
01007,49044
01008,66136
01009,79769
01010,37775
01011,50521
01013,31006
01020,34212
01022,45313
01026,57188
01027,41368
01028,46149
01030,44441
01031,21510
01032,37778
01033,33325
01034,52961
01035,66141
01036,41250
01037,43684
01038,48750
01039,64274
01040,34093
01050,46359
01053,41029
01054,62813
01056,37614
01057,45429
01060,43780
01062,34844
01068,47125
01069,48081
01070,47500
01071,54519
01072,61250
01073,32176
01075,53333
01077,42896
01080,46786
01081,61071
01082,38388
01083,21979
01085,45828
01088,60625
01089,40465
01092,58585
01095,48214
01096,52375
01098,53382
01103,14951
01104,20754
01105,19566
01106,47321
01107,12576
01108,31137
01109,17111
01118,50764
01119,37539
01128,34704
01129,43214
01151,39323
01201,34662
01220,26635
01222,52222
01223,28646
01225,42986
01226,50801
01230,34776
01235,39107
01237,39744
01238,48324
01240,40176
01243,74219
01245,36250
01247,34180
01253,81625
01254,39063
01255,58125
01256,35547
01257,36761
01258,91250
01259,64167
01262,24583
01264,23250
01266,26250
01267,34473
01270,46146
01301,34485
01330,41667
01331,30766
01337,37917
01339,41139
01340,46513
01341,56442
01343,73889
01344,31389
01346,98597
01347,61528
01349,63276
01351,42461
01354,46827
