Accession,Species,Genus,Family,Length,Country
MK095231,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8934,Spain
MK573246,Mayaro virus,Alphavirus,Togaviridae,11206,Bolivia
MK095234,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8852,Spain
KC175360,Norwalk virus,Norovirus,Caliciviridae,7511,Viet Nam
MN090839,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9059,Germany
MN090875,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9000,Germany
MN090796,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9044,Germany
MN090873,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9000,Germany
MN090868,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8808,Germany
MN090878,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8836,Germany
MN090841,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9029,Germany
MN090800,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9055,Germany
MN090871,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8999,Germany
MN090795,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9040,Germany
MN090843,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9048,Germany
MN090838,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9043,Germany
MN090745,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9047,Germany
MN090870,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8999,Germany
MN090833,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9045,Germany
MN090793,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9047,Germany
MN090866,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9019,Germany
MN090863,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8877,Germany
MN090938,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8984,Germany
MN090741,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9031,Germany
MN090780,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9026,Germany
MN090924,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8770,Germany
MN090900,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8948,Germany
MN090737,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9104,Germany
MN090859,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8699,Germany
MN090732,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9033,USA
MN090860,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9019,Germany
MN090829,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9045,Germany
MN090733,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9004,USA
MN090887,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9041,Germany
MN090913,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8999,Germany
