host,Tylonycteris,Scotophilus,Hipposideros,Miniopterus,covid19,Pipistrellus,Rhinolophidae,Rousettus
Tylonycteris,0.0,13451.0,13408.0,13455.0,12831.0,8148.0,12825.0,13416.0
Scotophilus,13451.0,0.0,10027.0,10336.0,13342.0,13775.0,13308.0,10070.0
Hipposideros,13408.0,10027.0,0.0,9958.0,13329.0,13780.0,13285.0,2084.0
Miniopterus,13455.0,10336.0,9958.0,0.0,13523.0,13775.0,13513.0,9977.0
covid19,12831.0,13342.0,13329.0,13523.0,0.0,13176.0,1188.0,13289.0
Pipistrellus,8148.0,13775.0,13780.0,13775.0,13176.0,0.0,13157.0,13788.0
Rhinolophidae,12825.0,13308.0,13285.0,13513.0,1188.0,13157.0,0.0,13297.0
Rousettus,13416.0,10070.0,2084.0,9977.0,13289.0,13788.0,13297.0,0.0
